Name,Type,Formulation,Route
Accolate 10mg,Controller,pill,Oral
Accolate 20mg,Controller,pill,Oral
AccuNeb 1.25mg/3ml,Rescue,vial,Inhaled
AccuNeb 0.63mg/3ml,Rescue,vial,Inhaled
Advair Diskus 100 mcg/50 mcg,Controller,puff,Inhaled
Advair Diskus 250 mcg/50 mcg,Controller,puff,Inhaled
Advair Diskus 500 mcg/50 mcg,Controller,puff,Inhaled
Advair HFA 115 mcg/21 mcg,Controller,puff,Inhaled
Advair HFA 230 mcg/21 mcg,Controller,puff,Inhaled
Advair HFA 45 mcg/21 mcg,Controller,puff,Inhaled
Aerobid 1mg,Controller,puff,Inhaled
Aerobid 2mg,Controller,puff,Inhaled
Aerobid-M 250 mcg,Controller,puff,Inhaled
Aerospan HFA 80 mcg,Controller,puff,Inhaled
Aerospan HFA 160 mcg,Controller,puff,Inhaled
AirDuo 55 mcg/14 mcg,Controller,puff,Inhaled
AirDuo 113 mcg/14 mcg,Controller,puff,Inhaled
AirDuo 232 mcg/14 mcg,Controller,puff,Inhaled
Albuterol Inhalation 90 mcg,Rescue,puff,Inhaled
Albuterol Sulfate HFA 180 mcg,Rescue,puff,Inhaled
Albuterol Sulfate HFA 200 mcg,Rescue,puff,Inhaled
Albuterol Sulfate Inhalation Solution 0.5% 5mg/ml,Rescue,vial,Inhaled
Albuterol Sulfate Inhalation Solution 0.5% 2.5mg/ml,Rescue,vial,Inhaled
Albuterol Sulfate Nebulizer Solution 0.063% 1.25mg/3ml,Rescue,vial,Nebulizer
Albuterol Sulfate Nebulizer Solution 0.083% 2.5mg/3ml,Rescue,vial,Nebulizer
Alvesco Inhalation Aerosol 80 mcg,Controller,puff,Inhaled
Alvesco Inhalation Aerosol 160 mcg,Controller,puff,Inhaled
Alvesco Inhalation Aerosol 320 mcg,Controller,puff,Inhaled
ArmomAir 55 mcg,Controller,puff,Inhaled
ArmomAir 113 mcg,Controller,puff,Inhaled
ArmomAir 232 mcg,Controller,puff,Inhaled
Arnuity Ellipta 100 mcg,Controller,puff,Inhaled
Arnuity Ellipta 200 mcg,Controller,puff,Inhaled
Asmanex Twisthaler 110 mcg,Controller,puff,Inhaled
Astelin,Controller,puff,Inhaled
Astepro,,,Topical_spray
Atrovent (Nasal Spray),,,Topical_spray
Asmanex Twisthaler 220 mcg,Controller,puff,Inhaled
Atrovent HFA 17 mcg,Rescue,puff,Inhaled
Atrovent Solution 250 mcg,Rescue,vial,Inhaled
Atrovent Solution 500 mcg,Rescue,vial,Inhaled
Azmacort Inhalation Aerosol 75,Controller,puff,Inhaled
Beclomethasone,Controller,puff,Inhaled
Beclomethasone HFA 80 mcg,Controller,puff,Inhaled
Beclomethasone HFA 40 mcg,Controller,puff,Inhaled
Breo Ellipta 100 mcg/25 mcg,Controller,puff,Inhaled
Breo Ellipta 200 mcg/25 mcg,Controller,puff,Inhaled
Budesonide 90 mcg,Controller,puff,Inhaled
Budesonide 180 mcg,Controller,puff,Inhaled
Budesonide/ Formoterol 160/4.5,Controller,puff,Inhaled
Budesonide/Formoterol 80/4.5,Controller,puff,Inhaled
Ciclesonide 80 mcg,Controller,puff,Inhaled
Ciclesonide 160 mcg,Controller,puff,Inhaled
Cinqair,Controller,injection,Injection
